2025-11-26T12:50:28.000000000Z [inf]  Starting Container
2025-11-26T12:51:45.918159781Z [inf]  [STATIC AGENT LOADER] Registering routes for: omnispectra
2025-11-26T12:51:45.918166770Z [inf]  [STATIC AGENT LOADER] ✅ Successfully registered: omnispectra
2025-11-26T12:51:47.008018988Z [inf]  [STATIC AGENT LOADER] Registering routes for: trace
2025-11-26T12:51:47.008043673Z [inf]  [Trace Agent] Routes registered
2025-11-26T12:51:47.008058870Z [inf]  [STATIC AGENT LOADER] ✅ Successfully registered: trace
2025-11-26T12:51:47.008068438Z [inf]  [STATIC AGENT LOADER] Registering routes for: scribe
2025-11-26T12:51:47.008076400Z [inf]  [STATIC AGENT LOADER] ✅ Successfully registered: scribe
2025-11-26T12:51:47.008084551Z [inf]  [STATIC AGENT LOADER] ✅ All 11 agents registered successfully
2025-11-26T12:51:47.008092210Z [inf]  📋 Registering session routes for 11 agents...
2025-11-26T12:51:47.008099288Z [inf]  ✅ Agent routes registered successfully
2025-11-26T12:51:47.008107635Z [inf]  🎉 System initialization complete!
2025-11-26T12:51:47.008116145Z [inf]  🔧 Loading automation triggers from database...
2025-11-26T12:51:47.008165393Z [inf]  [EventTriggers] Loading triggers from database...
2025-11-26T12:51:47.008518149Z [inf]  [STATIC AGENT LOADER] Registering routes for: parity
2025-11-26T12:51:47.008523234Z [inf]  [STATIC AGENT LOADER] ✅ Successfully registered: parity
2025-11-26T12:51:47.008529933Z [inf]  [STATIC AGENT LOADER] Registering routes for: radar
2025-11-26T12:51:47.008536388Z [inf]  [STATIC AGENT LOADER] ✅ Successfully registered: radar
2025-11-26T12:51:47.008542019Z [inf]  [STATIC AGENT LOADER] Registering routes for: relay
2025-11-26T12:51:47.008547434Z [inf]  [STATIC AGENT LOADER] ✅ Successfully registered: relay
2025-11-26T12:52:17.476015279Z [err]  [EventTriggers] Failed to load triggers from database: Error: timeout exceeded when trying to connect
2025-11-26T12:52:17.476024754Z [err]      at /app/node_modules/pg-pool/index.js:45:11
2025-11-26T12:52:17.476031040Z [err]      at async file:///app/node_modules/drizzle-orm/node-postgres/session.js:83:22
2025-11-26T12:52:17.476037593Z [err]      at async DbStorage.getAllAutomationTriggers (file:///app/dist/index.js:5994:16)
2025-11-26T12:52:17.476044928Z [err]      at async EventTriggersEngine.loadTriggersFromDatabase (file:///app/dist/index.js:23917:28)
2025-11-26T12:52:17.476050702Z [err]      at async file:///app/dist/index.js:55686:7
2025-11-26T12:52:17.476108275Z [err]  ❌ Failed to load automation triggers: Error: timeout exceeded when trying to connect
2025-11-26T12:52:17.476117266Z [err]      at /app/node_modules/pg-pool/index.js:45:11
2025-11-26T12:52:17.476123626Z [err]      at async file:///app/node_modules/drizzle-orm/node-postgres/session.js:83:22
2025-11-26T12:52:17.476131355Z [err]      at async DbStorage.getAllAutomationTriggers (file:///app/dist/index.js:5994:16)
2025-11-26T12:52:17.476139717Z [err]      at async EventTriggersEngine.loadTriggersFromDatabase (file:///app/dist/index.js:23917:28)
2025-11-26T12:52:17.476150062Z [err]      at async file:///app/dist/index.js:55686:7
2025-11-26T12:52:17.476158385Z [err]  ⚠️  Continuing without automation triggers - they can be created via API
2025-11-26T12:52:17.476166535Z [inf]  🔧 Starting automation scheduler...
2025-11-26T12:52:17.476172177Z [inf]  Starting automation scheduler...
2025-11-26T12:52:17.476177518Z [inf]  ✅ Automation scheduler started successfully
2025-11-26T12:52:17.476183335Z [inf]  ✅ Static file serving initialized (production mode) - routes ready
2025-11-26T12:52:17.476189702Z [inf]     Serving from: /app/dist/public
2025-11-26T12:52:17.476196909Z [inf]  ✅ Upload serving initialized
2025-11-26T12:52:18.527728016Z [inf]     Serving from: /app/uploads
2025-11-26T12:53:52.318605013Z [err]  Scheduler error: Error: timeout exceeded when trying to connect
2025-11-26T12:53:52.318611878Z [err]      at /app/node_modules/pg-pool/index.js:45:11
2025-11-26T12:53:52.318618368Z [err]      at async file:///app/node_modules/drizzle-orm/node-postgres/session.js:83:22
2025-11-26T12:53:52.318624768Z [err]      at async DbStorage.getScheduledTriggersDueForExecution (file:///app/dist/index.js:6019:16)
2025-11-26T12:53:52.318631288Z [err]      at async _SchedulerService.checkAndExecuteTriggers (file:///app/dist/index.js:27650:26)
2025-11-26T12:53:52.318638849Z [err]      at async Timeout._onTimeout (file:///app/dist/index.js:27635:13)
2025-11-26T12:54:44.077351017Z [err]  Scheduler error: Error: timeout exceeded when trying to connect
2025-11-26T12:54:44.077357529Z [err]      at /app/node_modules/pg-pool/index.js:45:11
2025-11-26T12:54:44.077365210Z [err]      at async file:///app/node_modules/drizzle-orm/node-postgres/session.js:83:22
2025-11-26T12:54:44.077376900Z [err]      at async DbStorage.getScheduledTriggersDueForExecution (file:///app/dist/index.js:6019:16)
2025-11-26T12:54:44.077384879Z [err]      at async _SchedulerService.checkAndExecuteTriggers (file:///app/dist/index.js:27650:26)
2025-11-26T12:54:44.077392555Z [err]      at async Timeout._onTimeout (file:///app/dist/index.js:27635:13)
